story_id,title_text,story_text,resp_text,isComplaint_true,isComplaint_R1,isComplaint_R2,isComplaint_R3,engagement_true,engagement_R1,engagement_R2,engagement_R3,engagement_R4,engagement_R5,engagement_R6,engagement_R7,engagement_R8,organisationalLearning_true,organisationalLearning_R1,organisationalLearning_R2,organisationalLearning_R3,organisationalLearning_R4,organisationalLearning_R5,organisationalLearning_R6,organisationalLearning_R7,organisationalLearning_R8
15,Visiting my father  inpatient for 5 weeks...,"As a family we were very impressed and feel very grateful for the level of support my father received from staff at Duchy Court. He was treated with care and respect from the time of his admission following a very traumatic introduction to in patient services via another hospital a and e, through his recovery, and the level of liaison with community and more local services before  his discharge was very thorough. In general both he and we were treated with a very high level of compassion and care and the consultant, nursing staff and in particular the nursing assistants have played a very significant role in his recovery.     The ward rounds were held every week as agreed and we were consulted about attending and times were agreed with us, we found these informative and supportive. The general environment was very clean and my father reported that the food was very good.      I have worked in other units in the Greater Manchester area as a professional and feel that Duchy Court was exemplary in care in comparison and we remain ever grateful to all the staff for their care during a difficult time,",I am delighted to read these very positive comments and will pass these onto staff who work at Duchy Court so they can take pleasure in knowing how patients and carers view the services offered there.    I am very thankful to you for taking the time to share your experience as it enables us to understand what matters to patients and carers and whether we are doing it right.      All the very best    Shahid Islam  Patient Experience Manager,0,0,0,0,0,,,,,,,,,0,,,,,,,,
46,The Surgery is disorganised,"I have turned up for an appointment to find the appointment hasn't been booked in on the system. One of the nurses at the practice is very rude. You see a different gp everytime.
Getting through on the phone now is near impossible. I used to like this surgery but I am now looking to change GP",I'm sorry that you encountered this problem please contact the Practice and ask for the Patient Services Manager or Practice Manager.nThank you,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,By Far the Best Practice in Warwickshire,"St Wulfstan is aptly named - It must be protected by Saints, and it is occupied by saintly receptionists, doctors and nurses. The best way to describe it is as a safe, welcoming, comforting and serene practice. Adjectives that I have never used for any previous practice that I've attended in this region. the appointments system runs like clock work. The nurses are exceptionally well trained, always professional helpful, kind and generous with their support. Your doctor will remember you, and they will show you care and attention - never rushed, never hasty, always excellent. I moved into this area in 2015 (from Leamington Spa) and my whole life changed thanks to this wonderful practice which has shown me how great medical care can be.   ","Thank you so much for such glowing comments, Katia. Everyone at St Wulfstan tries really hard to provide the best service they can and the whole team were delighted to hear how happy you have been with our care. nLindsay Ward, Practice Manager",0,0,0,0,0,,,,,,,,,0,,,,,,,,
164,Great care,"My dad recently underwent a quadruple heart by-pass and was admitted to ICU post-op.  
Whilst my dad was ventilated we as a family decided not to visit him at this point. During this time when we called the ward the nurses ensured we were kept fully up to date. The nurses were very kind and compassionate and offered a lot of reassurance to us during this worrying time.  
I am aware of how busy the nurses are, taking care of such sick patients, but they always took the time to speak to us on the phone and offer their expertise knowledge to the family.  
In a time where my dad was very unwell the nurses made us feel like he was getting very well looked after. Also a special thanks to Sarah, Jo and Veejay who were outstanding and a credit to the ward.  
My dad is now home and is recovering well. Thanks again to all the staff and also to the surgeons who carried out this amazing surgery. We will be forever grateful.","Dear Kilodr73,  rnThank you for taking the time to post on Care Opinion regarding your dad’s recent surgery. What a terrifying time this must have been for you all. I am so pleased to read that he is home and recovering well. Please pass on my well wishes to him.  rnPlease be assured that I have shared your kind compliments with the ICU managers. The nursing team will be delighted to know that the family felt very reassured by the phone calls with them and how they were caring for your dad. I will especially pass your thanks onto Sarah, Jo and Veejay.  rnThank you again,  rnKind regards",0,0,0,0,0,,,,,,,,,0,,,,,,,,
80,18 minutes on the phone still no answer,"This is by far one of the worst NHS GP's I have ever dealt with.

I have been waiting for 20 minutes now just to make an appointment. Their telephone booking system is so bizarre, you wait in a queue and then you go into another queue and then they ask you if you want to book or not.

When you do go into the GP, they staff or curt and rude and generally they don't seem to understand that us, the patients pay for the GP to exist.",We are sorry to read of your experience.  We are upgrading our phone system and will be acting on your feedback.  Please do let our senior reception or management team know your details and we can respond to you directly.  Thank you for taking the time to post.,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,The treatment l have had is disappointing,"I had a test a year last May to be told I had lost the hearing nearly in one ear and would get a follow up to decide what they were going to do and continual phone calls - no appointment!  
Eventually I got one for Lincoln Hospital recently, only after a round trip of a 100 miles to be told I needed another hearing test as it was so long ago.  
Why could I have not been notified before making the journey to Lincoln, which was absolutely a waste of time?  
Again I have been promised it will be within 6 weeks. l was told the same last year, my hearing is a lot worse now.  
The treatment l have had is disappointing","Dear tom571  
We are sorry you feel disappointed with our service and you had to wait a long time for a review appointment from last year. If we had your details to hand we would be able to look into this specifically for you and provide a more tailored response. We do have a large volume of patients awaiting an appointment with our service and this does unfortunately cause delays as we are a relatively small service covering the county of Lincolnshire.  
You do not state whether you had an examination during your appointment at Lincoln County recently; we find it is best for a face to face appointment as the clinical staff are able to ascertain if there is anything else they need to be aware of, particularly as you had been waiting a long time for a review.  
We hope you receive your hearing test appointment as soon as possible and if you would like to contact a member of our team we will be able to check into this for you with our audiology colleagues.  
We are happy for you to contact the service manager direct to help you with this.  
Kind regards  
Andrea  
01205 445746/01522 307400 - andrea.herd@ulh.nhs.uk",1,1,1,1,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Not keen on the food,I have only been here half a week but I have to say that the food is horrible and the only thing I can eat is the soup. The nurses are good and the wards are clean enough. Apart from the food there are no issues.,"Dear Matdw53 - than you for this feedback and your comments about the nurses. We are sorry to read that you are not happy with the food. We would ask you to speak to the ward staff so that they can look at some alternatives for you  
Best wishes Christine Armstrong  
Care Opinion Facilitator SHSCT",1,0,0,0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,We appreciate everything she did for us as a family.,"Michele was my son’s health visitor for the first 6 months. Michele was always on hand to give advice whenever needed. She was quick to identify his flat head and the growth size, referrals were done to the different services. Would make contact after each different service to see how they went. Due to difficult circumstances, we had to move out of the area. Even during this time she still kept in contact to see if anything was needed. We appreciate everything she did for us as a family. Thank you","Dear Phoenix22  rnMy name is Elizabeth Whyte and I am a Lead nurse in Public health nursing service.  rnThank you so much for taking the time to write lovely feedback regarding the support you have received from your health visitor Michelle.  rnIt is very rewarding and encouraging for staff to hear positive feedback and this compliment has been shared with Michelle, her manager and colleagues.  rnYour kind comments are greatly appreciated.  rnBest Wishes  rnElizabeth",0,0,0,0,0,,,,,,,,,0,,,,,,,,
18,staff friendly but could do with some chair exercises,"""The staff are very good, friendly, they look after us good. You can always go to them for a talk about anything. They could do with more. We could do with more chair exercises on a Tuesday, especially for the ones who can't move about as much. The quizzes are good as well. They help a lot. ""","Hi there
Many thanks for your posting and the positive feed back. Can I suggest that the request for 'more chair exercises ' are taken to the ward manager so that this can be placed on the agenda for the next patient community meeting on the ward, this forum is a good opportuinity to discuss and debate.
Best wishes
Andrea",1,0,0,0,2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
128,Out of hours care from out Strabane,"I have been suffering with a severe ear infection for the last few days. The antibiotics and pain relief I was on wasn't hitting the pain and I was in incredible agony. I rang out of hours in Strabane and was rang back within 5mins to come down straight away. I was quite visibly upset when I got there and tried my best to keep it in. I was seen within 10-15mins by a nurse called Amy. She seen how upset I was and how much pain I was in and couldn't do enough to help. She was caring, kind, polite and so friendly. I know that's what you expect in these situations but most times I have been in an out of hours practice.. they normally want rid of you quickly or refer you on to A&E. This was not the case this evening. I feel that Amy set the standard for all healthcare workers in her professionalism, knowledge and kindness. She gave me a clear going over and left no stone unturned. I left feeling so relieved, with everything I needed and finally was able to get the pain under control and get some sleep. Amy was quick and to the point and so compassionte to how awful I felt. I truly appreciated everything she did for me.","Firstly, thank you for taking the time to share the details of your experience with the GP Out of Hours service.  rnWe were glad to hear that you had a positive experience of the service from the telephone triage to the appointment to be seen in the clinic. It was good to know that the Doctor you seen was able to assist you. We will pass on your kind words and appreciation so that she is aware you valued the attention and care she gave to you.  rnWe do hope that your health continues to improve.",0,0,0,0,0,,,,,,,,,0,,,,,,,,
45,Worst surgery ever.,Whenever I ring this surgery for appointments for myself or my family members I can NEVER get an appointment. They’re service is absolutely rubbish. Taking on more patients than they can cope with. I rang a couple months back for my son as he was covere ln a rash but they refused to give an appointment. Today I was suffering from severe back pain which I had for the past week and when I rang for an appointment they said come in to the walk in clinic. I took the time to go there with this pain and they said they can’t see me. After having a go at them I told them no one comes here for fun atheist give an appointment but they have no appointment system. That’s what the moody receptions had to say. Pathetic practice .,"I am really sorry your experience was less than satisfactory.
we are constantly reviewing our appointment system to try and meet the needs of all of our patients.
With this in mind we actually introduced a sit and wait clinic on Monday and Thursday mornings to increase capacity however its very difficult to try and guess how many patients are going to walk in on a given day so the standard telephone script is that its walk in clinic we then tell the caller if we have a q in reception of people walking in and try to encourage patients to come to surgery asap as each of the drs see 26 patients once we reach 26 then we close the walk in and have to turn patients away.
In addition to the we have also added on line appointment booking which is open 24/7 so that patients can book online rather than calling in and finally we have advanced booking so everyday 50% of appointments are bookable in advance (2 weeks in advance) and the remaining appointments are booked on the day.
Having said all of the I totally understand just how frustrating this experience must have been for you.
In the future if you experience anything like this again please do ask to speak to myself Julie Davey Practice Manager or my senior receptionist Anisah - we do have the authority or override our booking system in situations such as this if we feel it appropriate.
I would welcome the opportunity to discuss this further with you when you next have a few minutes and passing by the surgery.",1,1,1,1,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Pleasant experience,"I have just returned from an appointment in you Neurophysiology Dept for tests for Carpel problems. My experience was superb. Such a lovely person who did these tests and seen on time, which in itself is a plus. Many thanks.",Thank you for taking the time to post your comments here.  We are really pleased to hear about your very positive experience with our Neurophysiology Department.  We will make sure that your lovely comments are shared with the staff.  Thanks again.,0,0,0,0,0,,,,,,,,,0,,,,,,,,
109,Flu Jab,"Although I was early for my appointment the Staff member at the entrance invited me in, I gave them my name, was then directed to the nurse who administered the Flu Jab. I was then directed to the exit door of the one way system. The whole experience was very much an efficient and safe working practice carried out by a team of friendly and helpful staff. It is a pleasure to be a patient of The Family Surgery","Thank you for taking the time to provide us with such positive feedback regarding our flu vaccination clinic, this will be shared with all our team. We endeavour to provide the best service possible and welcome all feedback so we can continually strive to improve the services we provide.",0,0,0,0,0,,,,,,,,,0,,,,,,,,
102,Great care the hospital,The staff on level 4 stroke and rehab looked after my husband very well and kept me up to date on his progression. Well done everyone!,"Hi wearinghs65,  
Thank you so much for taking the time to give us your feedback. This is great to hear that your husband received such great care.  
I hope your husband continues to improve.  
Best wishes  
James",0,0,0,0,0,,,,,,,,,0,,,,,,,,
151,Pleasant and extremely helpful,"I attended Day Surgery University Hospital Wishaw for an open reduction and internal fixation of the right humerus. The reception/admin staff who guided me to the waiting room were pleasant and extremely helpful. I found the Nursing staff in the department to be caring, empathic and highly professional. I felt at ease and trusted them entirely from the outset which was huge as I was terrified about having this surgery.  
The surgical team and all the theatre staff and anaesthetists involved in my care I will forever be grateful for your excellent care. I was discharged the same day with a 5 day care plan which guided me through the post op days in the comfort of my own home.Thank you x 1 million to these amazing healthcare providers feel extremely lucky to have had them.","Dear catherinecx23,  
Thank you for taking the time to feedback to us about your recent experience at University Hospital Wishaw, Day Surgery.  
It can be a worrying time attending hospital for a procedure. I am delighted our friendly team put you at ease from welcoming you at reception to talking you through the procedure, looking after you during it. Your positive feedback and thanks will give the team a much needed boost and I will be sure to feed this back to them.  
I hope you are recovering well.  
Kind regards,  
Jenni",0,0,0,0,0,,,,,,,,,0,,,,,,,,
106,Not fit for purpose.,"Unfortunately this practise has gone down hill significantly. It can take 50+ phone calls to get through to speak to anyone. The online booking system via Systm One Online doesn't work and shows absolutely zero appointments within the 2 week window it let's you view. I'm over a month over due for an injection even though I put a request in back in July, and 2 of my children require routine vaccinations however I'm unable to book these too. If I try to put in a complaint via the online Web form through the practise website it states all online forms are currently unavailable. Whilst I understand and accept some delays given the current global situation, I do not believe that people should receive sub par health care. I only state its sub par as its completely inaccessible. ",Firstly i would like to apologise for the delay in responding we were not been alerted to comments added. We are hoping you have seen improvements since your last comment we have been working closely with the Patient participation group on improving access. ,1,1,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
175,"12 days of calm, comfort and being looked after","Turned up at Dame Carol House extremely anxious, nervous and scared of what to expect and the journey ahead.  
I was instantly greeted by a wonderful team of nurses and recovery workers who made me feel at ease instantly. I was shown my room which was well equipped, clean and comforting. What followed was 12 days of calm, comfort and being looked after and having any need addressed. The team here have been life savers, truly wonderful!I have left feeling confident about my recovery, knowing the team are always on the other end of the phone. They have set me up for success which I never thought I would be able to achieve. Thank you from the bottom of my heart for what you all have done!","Hello Camm,  rnThank you for taking the time to leave a review for us here at Dame Carol.  rnI am pleased you felt at ease when you arrived.  rnI am glad you felt comfortable whilst staying here.  rnWe wish you all the luck for the future and thank you for your comments.  rnEmma Smith Bed Manager",0,0,0,0,0,,,,,,,,,0,,,,,,,,
176,Awful service,"I have telephoned every day this week trying to reach a Continence Nurse. All I get is a call saying they're passing my message on, end of it just died between an inbox or outbox or whatever you want to call them but no phone calls.  
I made other than one person rang me to tell me that the person I’m trying to contact only works two days per week That person was unable to tell me which two days despite me asking them five times.  
I’ve never known such disregard for another human being","Dear Johfh87  
I am very sorry that you have had this experience in trying to contact our service and I am anxious to try and resolve this with you and get you the help you need. Please do email me your name and contact details on my email address below and I will ensure that we arrange for a continence nurse advisor to speak with you.  
dawn.cronin@nottshc.nhs.uk  
I am very concerned that you have felt let down and treated poorly and this is not the service that we expect our patients to receive and I will look into the issues you have had and try to identify if there is any underlying issues that we can rectify to improve this.  
I will contact you as soon as possible, depending on when you are able to send me your details.  
If you would prefer to - you can also contact our PALS team on  
Tel: 0115 993 4542  
Email: PALSandComplaints@nottshc.nhs.uk  
If you provide them with my name as a contact point, they will ensure that your concerns are sent to me with your details.  
Kind Regards  
Dawn Cronin  
General Manager  
Specialist Services",1,1,1,1,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
20,Terrible,I was treat very badly. The whole experience left me feeling even more emotionally and mentally vulnerable. I was not given any of my medication and was basically left in a room for three days to weep alone,"Thank you for your feedback concerning your stay at West Park Hospital. We are very sorry to hear that you found the experience to be terrible and feel that mental health services in Darlington are a waste of time.
We aim to provide excellent services that exceed patient expectations therefore take all feedback very seriously and would like to reassure you that any concerns raised by the public regarding services or  the attitude / behaviour of staff are fully investigated.
It is important that we do this so that we can learn lessons in order to continuously improve our services.
We would be happy to meet with you and discuss your concerns and reflections further. If this is something you would like to do, please contact
Corinne Aspel, Senior Nurse Patient and Carer Experience on 0191 333 3566.",1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,Brilliant practice,"All staff were very polite and helpful as soon as you arrived until your treatment was finished. When I was anxious they explained everything to me as we went through from entering the front door, going through all pre OP drops and into the theatre always doing their best to keep you calm.","Hi,  Thank you for leaving a 5-star review for SpaMedica Liverpool.  We're pleased to hear you had a positive experience during your visit to the hospital.  Best wishes for the future from all at SpaMedica.",0,0,0,0,0,,,,,,,,,0,,,,,,,,
140,First class practice,"Family well cared for. Excellent communication and prompt response to issues. Friendly staff, nurses and doctors. Highly recommend.",Thank you for your lovely review.nnIt's so nice to hear when patients are happy with the service provided.nKind regardsnHelen ConaghannPractice Manager,0,0,0,0,0,,,,,,,,,0,,,,,,,,
118,Lovely care,"I had my regular tests and a conversation with the doctor about PREP. I felt comfortable and supported at all times. The Stafford team, including doctors, receptionists and nurses, is a model of compassionate and reassuring care.",Thank you for your feedback. At Open Clinic we aim to ensure patients have a positive experience and are put at ease during their time in clinic. We are very pleased you found this to be the case on your recent visit.,0,0,0,0,0,,,,,,,,,0,,,,,,,,
47,Day 18,Now on day 18 since 1st feb of trying and failing to get an appointment. Its a joke. Can’t pre book with app can’t pre book with receptionist. Can’t just have a blood test must see a doctor. I could turn up at 8 am and take a chance but no guarantees. So take a days holiday on the off chance. Great. Some people work for a living. Its not urgent well i hope not but at this rate i may never find out. Did get the offer of a telephone consultation whooo hoooo in March sometime but I stupidly thought nah l’ll have seen a doctor before then how dumb was i 🤯.,"Dear patient, whilst we have invested in some call monitoring equipment to trace calls and look why you seem to have tried 18 days to get an appointment , with a complaint raised anonymously on a public forum, we have no details to investigate this for you. I can advise that at the time of writing  28/2 10.30 am we still have many appointments left, and also have the additional winter pressures appointments in place, so would be interested to received your details to investigate fully.
Kind regards, J Goldsworthy Practice manager",1,1,1,1,2,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Quick to judge,"Spent half an hr there today being interrogated by a ""coordinator"" asking ""why I carnt do this why I carnt do that.??""if u are looking for no answers and only police type interagation questions then go here.no help whatsoever.i was to mentaly and physically exhausted to answer her questions so I left early.i thought the idea was to go here for help??? I didn't have the energy to tell them I have type 1 diabetes(insulin dependant) pancreatitus, hypothyroidism, disc/spine problems, m.e/cfs/fibromyalgia sleep apnea the list goes on.i had to take extra morphine and codeine just to get there. And I live in a constant flu like pain riddled state.not to mention mental strain I have been under following my father's death etc.another highly judgemental display from the NHS.extremely quick to look you up and down and judge you.never again",We are sorry to hear about your experience of our service. If you would like to share your experience further please contact the Patient Advice and Liaison Service on 0800 783 2865,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Very efficient vaccination programme,"I had my first Covid vaccination on 25 February. Everything was well-organised and all the staff and volunteers were friendly, kind and helpful. Administering the vaccine itself was very professional. Much gratitude to all concerned!","Dear Jond
Many thanks from the vaccinators, clinicians, admin staff and volunteers who are working hard to ensure that the Covid vaccinations are delivered as quickly and as safely as possible.
We have been overwhelmed by the many kind, generous and positive comments and apologise that we are unable to respond to each review in a more personal and individual manner.
",0,0,0,0,0,,,,,,,,,0,,,,,,,,
